Job Title,Company,country,Experience Level,Salary,Industry,Required Skills,education_requirement_level
Manufacturing systems engineer,Mcconnell PLC,Bangalore,Mid Level,77000,Finance,"SQL, Python, Financial Modeling",2
Race relations officer,"Martin, Oneal and Baldwin",Bangalore,Entry Level,130000,Software,"C++, Java, AWS",1
Electronics engineer,"Luna, Hess and Schmidt",Sydney,Mid Level,113000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care",4
"Nurse, mental health",Garza-Johnson,Berlin,Mid Level,98000,Finance,Python,5
"Accountant, chartered","Macias, Thompson and Best",Bangalore,Entry Level,121000,Marketing,SEO,1
Patent examiner,Johnson-Lopez,San Francisco,Senior Level,60000,Healthcare,"Pharmaceuticals, Nursing, Medical Research, Patient Care",5
Copy,"Robles, Wright and Mccoy",Berlin,Entry Level,80000,Education,"Teaching, Curriculum Design",3
"Engineer, chemical","White, Sutton and Roberts",San Francisco,Mid Level,89000,Retail,Merchandising,1
Financial planner,Strong-Lopez,New York,Entry Level,78000,Healthcare,"Medical Research, Pharmaceuticals, Patient Care",1
"Engineer, civil (consulting)",Hogan Inc,New York,Senior Level,147000,Manufacturing,"Quality Control, Supply Chain, Production Planning",4
"Investment banker, corporate",Lynch-Willis,Toronto,Entry Level,100000,Marketing,"Content Writing, SEO, Market Research, Google Ads",1
Charity fundraiser,"Lara, Greene and White",London,Entry Level,82000,Finance,"SQL, Python, Excel, Risk Analysis",3
"Editor, film/video","Elliott, Vasquez and Griffith",London,Entry Level,131000,Education,Curriculum Design,1
Exhibition designer,"Reilly, Mercado and Smith",Sydney,Mid Level,125000,Finance,"Risk Analysis, Python",2
"Accountant, chartered management","Taylor, Brown and Gardner",Bangalore,Senior Level,66000,Healthcare,"Nursing, Medical Research, Patient Care",5
Human resources officer,"Garcia, Faulkner and Scott",London,Senior Level,87000,Finance,"Excel, Risk Analysis",2
Academic librarian,Mack-Andersen,Toronto,Mid Level,120000,Retail,Merchandising,3
Leisure centre manager,"Norris, Singleton and Horn",Bangalore,Mid Level,85000,Marketing,"SEO, Social Media",3
"Research officer, political party",Reyes Inc,canada,Mid Level,117000,Education,"EdTech, Curriculum Design, Teaching",2
"Psychologist, sport and exercise",Anderson Ltd,Berlin,Entry Level,148000,Marketing,"Market Research, Social Media",2
Further education lecturer,"Graham, Sheppard and Obrien",Toronto,Senior Level,107000,Healthcare,"Medical Research, Pharmaceuticals",3
"Optician, dispensing",Franklin Ltd,Berlin,Entry Level,145000,Manufacturing,Supply Chain,5
"Investment banker, operational",Russell LLC,Bangalore,Senior Level,43000,Marketing,SEO,3
Patent attorney,"Lewis, Sheppard and Morgan",Toronto,Senior Level,50000,Manufacturing,"Quality Control, Production Planning, Supply Chain",5
Dispensing optician,"Garcia, Rojas and Flores",Berlin,Entry Level,58000,Education,"Research, EdTech, Curriculum Design",5
Psychiatric nurse,Lutz Ltd,San Francisco,Mid Level,103000,Retail,"Merchandising, Sales",2
Clinical molecular geneticist,"Holder, Lee and Knight",San Francisco,Senior Level,149000,Retail,"Sales, Customer Service, Merchandising",5
Charity fundraiser,"Fritz, Roberts and Berg",New York,Mid Level,52000,Software,"Python, SQL, Java",1
Race relations officer,"Ortiz, Ferguson and Mercado",San Francisco,Entry Level,91000,Marketing,"Market Research, Google Ads",3
Advice worker,Forbes-Duncan,Toronto,Mid Level,79000,Retail,Sales,6
Learning mentor,"Olson, Case and Chandler",London,Mid Level,75000,Retail,"Sales, Merchandising",4
"Geologist, wellsite","Watkins, Sullivan and Brock",Bangalore,Mid Level,44000,Software,"Machine Learning, Python, Java",1
Senior tax professional/tax inspector,"Hernandez, Jones and George",Toronto,Senior Level,97000,Retail,"Merchandising, Customer Service, Sales",5
Heritage manager,Baxter and Sons,canada,Senior Level,90000,Software,"Python, Java, Machine Learning, React",4
Operations geologist,Tapia PLC,Bangalore,Entry Level,127000,Manufacturing,"Production Planning, Quality Control, Supply Chain",1
"Psychologist, prison and probation services",Miller-Robinson,Berlin,Mid Level,85000,Finance,"Python, SQL, Risk Analysis, Financial Modeling",2
Chartered accountant,Burton Ltd,San Francisco,Senior Level,92000,Healthcare,"Patient Care, Pharmaceuticals, Medical Research",1
Architectural technologist,"Bass, Dunn and Williams",Toronto,Mid Level,52000,Manufacturing,"Supply Chain, Production Planning, Quality Control",1
Financial risk analyst,Harris LLC,Berlin,Senior Level,119000,Marketing,Market Research,5
Nutritional therapist,Harper Group,Sydney,Mid Level,40000,Finance,"Excel, Risk Analysis, Python, Financial Modeling",1
Paediatric nurse,Johnson-Tate,London,Entry Level,103000,Manufacturing,Quality Control,5
Quantity surveyor,Silva-Smith,Sydney,Senior Level,59000,Education,Curriculum Design,1
"Teacher, secondary school",Lynch-Woods,London,Mid Level,118000,Retail,Merchandising,5
Trading standards officer,Hill Inc,Toronto,Mid Level,52000,Finance,"Risk Analysis, Financial Modeling, Python",5
Commissioning editor,Jackson Ltd,New York,Senior Level,140000,Software,React,4
Public house manager,Allison and Sons,Bangalore,Mid Level,108000,Healthcare,"Patient Care, Medical Research, Nursing, Pharmaceuticals",3
Public affairs consultant,Mercer Group,Sydney,Entry Level,60000,Marketing,"Content Writing, Google Ads",4
Exhibition designer,Pierce PLC,London,Mid Level,121000,Education,Teaching,9
Plant breeder/geneticist,Pace-Franco,San Francisco,Mid Level,138000,Software,Machine Learning,2
Agricultural engineer,Jackson-Lopez,Toronto,Entry Level,107000,Retail,"Sales, Merchandising",4
Museum education officer,Hill-Cortez,Sydney,Entry Level,86000,Marketing,"Google Ads, Content Writing, SEO",4
Estate agent,Roth and Sons,Berlin,Entry Level,73000,Manufacturing,"Production Planning, Supply Chain, Quality Control",5
Marketing executive,"Campbell, Sloan and Macdonald",Toronto,Mid Level,121000,Education,Teaching,3
Patent examiner,"Mendoza, Murillo and Hess",Bangalore,Mid Level,77000,Finance,"Risk Analysis, SQL",5
Sports development officer,Watts Ltd,Sydney,Mid Level,61000,Manufacturing,"Production Planning, Supply Chain",3
Stage manager,"Lewis, Jackson and David",canada,Entry Level,121000,Software,Machine Learning,3
"Designer, blown glass/stained glass",Hernandez and Sons,Bangalore,Mid Level,61000,Marketing,"Market Research, SEO, Google Ads",5
Tax inspector,Sullivan-Vaughn,New York,Mid Level,88000,Education,"Teaching, Curriculum Design, Research",5
Building services engineer,King Ltd,San Francisco,Mid Level,128000,Healthcare,"Nursing, Pharmaceuticals, Patient Care",4
Best boy,Perkins-Fowler,Berlin,Senior Level,134000,Marketing,"Content Writing, SEO, Market Research",3
"Designer, exhibition/display","Gonzales, Sanchez and Hill",Sydney,Entry Level,106000,Manufacturing,"Quality Control, Supply Chain",4
Quarry manager,"Edwards, Mcdowell and Benjamin",San Francisco,Senior Level,51000,Finance,"Risk Analysis, SQL",1
Ecologist,Arias LLC,Toronto,Senior Level,73000,Finance,Risk Analysis,3
"Designer, industrial/product",Jennings PLC,Bangalore,Mid Level,72000,Healthcare,Pharmaceuticals,1
Science writer,Hooper-Villarreal,San Francisco,Mid Level,55000,Healthcare,"Medical Research, Patient Care, Nursing",2
Horticultural consultant,"Jones, Davis and Gomez",San Francisco,Senior Level,40000,Manufacturing,Supply Chain,1
Chartered legal executive (England and Wales),"Burgess, Taylor and Blackburn",San Francisco,Entry Level,99000,Education,"Teaching, EdTech, Research, Curriculum Design",3
Solicitor,Pierce-Allen,Sydney,Entry Level,51000,Retail,Customer Service,2
Public relations officer,"Martinez, Davis and Stuart",Berlin,Mid Level,108000,Retail,"Merchandising, Sales",5
"Horticulturist, commercial",Hurst Ltd,San Francisco,Mid Level,78000,Education,Curriculum Design,5
"Psychologist, educational",Sherman Ltd,Toronto,Entry Level,121000,Retail,Customer Service,5
Forest/woodland manager,"Mendez, Martinez and Bowers",London,Entry Level,50000,Education,"EdTech, Research, Teaching, Curriculum Design",4
"Scientist, research (life sciences)","Rose, Farmer and Holland",Toronto,Mid Level,77000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals",3
"Engineer, drilling",Greer-Skinner,Sydney,Senior Level,102000,Marketing,"Market Research, SEO",6
Materials engineer,Stone-Hayes,Bangalore,Senior Level,113000,Education,"Research, Teaching, Curriculum Design",2
"Therapist, occupational","Hudson, Hubbard and Gonzales",Sydney,Senior Level,140000,Healthcare,Nursing,4
Radio broadcast assistant,Cummings Ltd,Bangalore,Mid Level,135000,Software,"Machine Learning, SQL",2
Personal assistant,Williams and Sons,Bangalore,Entry Level,110000,Education,EdTech,4
Call centre manager,Koch-Francis,Bangalore,Mid Level,88000,Finance,Python,4
Chief Strategy Officer,Ruiz-Weaver,canada,Entry Level,148000,Software,"Java, C++, SQL",3
Equality and diversity officer,Rodriguez-Mays,Sydney,Mid Level,78000,Retail,"Customer Service, Sales",3
Lexicographer,Kerr-Mcdowell,Sydney,Senior Level,87000,Healthcare,Pharmaceuticals,1
Teaching laboratory technician,"Haley, Welch and Welch",Bangalore,Entry Level,52000,Education,Teaching,2
Special effects artist,Hickman-Willis,Toronto,Entry Level,63000,Education,"Curriculum Design, Research, Teaching",1
Music therapist,Roberts-Thomas,Toronto,Entry Level,144000,Retail,"Merchandising, Sales, Customer Service",2
Youth worker,Gonzalez Inc,London,Entry Level,55000,Healthcare,"Patient Care, Medical Research, Pharmaceuticals, Nursing",5
Theatre stage manager,Williamson-Delgado,Toronto,Senior Level,140000,Marketing,"Market Research, SEO, Content Writing, Social Media",3
Illustrator,Ramirez and Sons,Sydney,Senior Level,96000,Manufacturing,"Production Planning, Quality Control",2
Public affairs consultant,"Ford, Hess and Walker",Bangalore,Mid Level,81000,Software,"AWS, SQL, C++, React",5
"Scientist, clinical (histocompatibility and immunogenetics)",Walker-Wheeler,Sydney,Senior Level,126000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals",4
"Conservator, museum/gallery",Coleman Ltd,Berlin,Entry Level,42000,Manufacturing,"Quality Control, Production Planning, Supply Chain",2
"Designer, interior/spatial",Gray PLC,canada,Entry Level,110000,Finance,Financial Modeling,3
Occupational therapist,Holmes LLC,London,Mid Level,99000,Software,SQL,1
"Development worker, community",Fitzgerald-Murray,Bangalore,Senior Level,64000,Healthcare,"Pharmaceuticals, Medical Research",4
Garment/textile technologist,Williams-White,New York,Entry Level,61000,Education,"Curriculum Design, Research, EdTech, Teaching",9
Hospital doctor,Bates and Sons,New York,Entry Level,45000,Finance,"Python, Risk Analysis, Financial Modeling, Excel",3
Historic buildings inspector/conservation officer,"Hernandez, Carpenter and Mckinney",New York,Senior Level,51000,Retail,"Merchandising, Sales, Customer Service",4
Production manager,Wood Group,Sydney,Mid Level,135000,Marketing,"Social Media, Content Writing, SEO",5
Proofreader,Livingston-Watson,Bangalore,Entry Level,138000,Manufacturing,"Quality Control, Supply Chain, Production Planning",5
"Engineer, agricultural","Smith, Wells and Guzman",London,Mid Level,41000,Software,Machine Learning,4
Purchasing manager,Lang-Dixon,Sydney,Entry Level,66000,Retail,Customer Service,5
Ergonomist,Lester-Lucas,Sydney,Mid Level,119000,Manufacturing,"Production Planning, Quality Control, Supply Chain",2
Freight forwarder,Miller-Paul,New York,Entry Level,119000,Healthcare,"Pharmaceuticals, Nursing",2
Waste management officer,"Pierce, Ramirez and Harris",San Francisco,Entry Level,60000,Healthcare,"Medical Research, Nursing, Pharmaceuticals, Patient Care",4
Restaurant manager,Davis LLC,London,Mid Level,94000,Software,"Java, SQL",2
Musician,Thomas and Sons,Toronto,Mid Level,130000,Manufacturing,"Quality Control, Supply Chain, Production Planning",2
Technical author,"Foster, Wilson and Henderson",San Francisco,Entry Level,41000,Manufacturing,"Production Planning, Supply Chain, Quality Control",5
"Engineer, manufacturing systems",Spencer-Hernandez,Bangalore,Senior Level,133000,Healthcare,"Medical Research, Patient Care, Pharmaceuticals",2
"Engineer, structural",Jones and Sons,San Francisco,Entry Level,102000,Finance,"SQL, Excel, Risk Analysis",3
"Research officer, government",Henderson and Sons,Sydney,Senior Level,112000,Manufacturing,"Production Planning, Quality Control",4
Television production assistant,Villa Ltd,Sydney,Senior Level,123000,Manufacturing,"Supply Chain, Production Planning",5
"Surveyor, hydrographic",Martinez Group,Berlin,Senior Level,95000,Education,EdTech,1
Geoscientist,Bell-Anderson,New York,Senior Level,112000,Marketing,"SEO, Market Research, Content Writing",1
Travel agency manager,Kerr-Coleman,New York,Senior Level,139000,Education,"Teaching, Research, EdTech, Curriculum Design",1
Food technologist,Webster-Chang,London,Entry Level,94000,Software,Java,4
Patent attorney,Callahan PLC,canada,Senior Level,59000,Education,EdTech,6
"Pharmacist, hospital",Mason-Nelson,San Francisco,Senior Level,48000,Healthcare,"Medical Research, Pharmaceuticals, Nursing, Patient Care",3
Copy,Schaefer-Wilson,Toronto,Entry Level,145000,Finance,"Excel, Financial Modeling, SQL, Risk Analysis",4
Control and instrumentation engineer,"Sims, Wilkerson and Anderson",Berlin,Mid Level,126000,Healthcare,"Patient Care, Nursing",5
Tax adviser,"Mueller, Compton and Nguyen",San Francisco,Mid Level,79000,Marketing,"SEO, Market Research",3
"Engineer, mining",Pacheco-Perez,Toronto,Mid Level,68000,Finance,"Risk Analysis, Financial Modeling, Excel",5
Chiropodist,"Conrad, Lopez and Perez",Berlin,Senior Level,138000,Education,"Curriculum Design, Research, Teaching",2
Ophthalmologist,"Walker, Craig and Gentry",Sydney,Senior Level,111000,Marketing,"Social Media, SEO, Google Ads",4
Theatre director,Patton LLC,Berlin,Entry Level,109000,Software,"AWS, SQL",2
Copy,Hayes PLC,Berlin,Entry Level,124000,Healthcare,"Patient Care, Pharmaceuticals, Nursing, Medical Research",1
"Engineer, structural",Jackson-Johnson,Toronto,Mid Level,77000,Manufacturing,"Supply Chain, Production Planning, Quality Control",5
Education administrator,"Holden, Jones and Owens",London,Entry Level,119000,Healthcare,"Nursing, Patient Care, Medical Research, Pharmaceuticals",1
"Surveyor, building","Williams, Lozano and Wright",Berlin,Senior Level,87000,Healthcare,Pharmaceuticals,3
Dietitian,Pena-Johnson,London,Mid Level,76000,Finance,"Risk Analysis, Financial Modeling, Python, Excel",4
Ophthalmologist,"Martin, Williams and Rosario",San Francisco,Mid Level,149000,Finance,"Python, Risk Analysis, SQL, Excel",2
Wellsite geologist,Dorsey Ltd,Sydney,Entry Level,87000,Finance,"Risk Analysis, Financial Modeling, SQL",2
Trade union research officer,Nguyen-Lewis,London,Mid Level,110000,Retail,"Customer Service, Merchandising",5
"Scientist, research (medical)","Higgins, Odonnell and Williams",Bangalore,Senior Level,91000,Finance,"Risk Analysis, SQL, Python",3
Nutritional therapist,"Walters, French and Shaw",San Francisco,Senior Level,106000,Marketing,"SEO, Google Ads, Market Research",5
"Producer, television/film/video","Hood, Wright and Rodriguez",Bangalore,Entry Level,58000,Healthcare,"Pharmaceuticals, Medical Research, Nursing",5
Psychiatrist,Long PLC,London,Senior Level,91000,Finance,"SQL, Python, Financial Modeling",2
"Producer, television/film/video",Garcia-Wood,Sydney,Mid Level,71000,Healthcare,"Pharmaceuticals, Patient Care",95
Interior and spatial designer,Miller and Sons,Berlin,Mid Level,121000,Finance,"Python, Risk Analysis",4
Speech and language therapist,Garza-Jordan,Toronto,Mid Level,145000,Healthcare,"Pharmaceuticals, Nursing, Medical Research, Patient Care",2
Merchant navy officer,Warner-Rowe,canada,Entry Level,56000,Finance,"SQL, Excel, Risk Analysis, Python",4
Futures trader,Murphy-Galvan,New York,Senior Level,79000,Finance,"SQL, Excel, Financial Modeling",2
"Therapist, horticultural",Martin-Allen,San Francisco,Mid Level,117000,Education,Research,3
Corporate investment banker,Webb Ltd,San Francisco,Entry Level,138000,Finance,"Python, Risk Analysis, Financial Modeling, SQL",3
"Conservation officer, historic buildings",Peterson-Kim,Berlin,Mid Level,63000,Education,Teaching,4
Private music teacher,Smith LLC,London,Entry Level,149000,Software,Machine Learning,3
Writer,Ruiz-Kramer,Sydney,Senior Level,67000,Manufacturing,"Production Planning, Supply Chain",1
"Psychologist, sport and exercise",Guzman LLC,New York,Mid Level,143000,Marketing,"Market Research, Google Ads",1
"Psychologist, clinical",Gamble-White,New York,Entry Level,44000,Manufacturing,Supply Chain,3
Accounting technician,Jones-Brock,Toronto,Entry Level,97000,Finance,"SQL, Risk Analysis, Excel, Python",4
"Surveyor, rural practice",Short PLC,San Francisco,Senior Level,115000,Finance,"Python, Excel",1
Chief Operating Officer,Neal Inc,San Francisco,Entry Level,147000,Manufacturing,"Supply Chain, Quality Control, Production Planning",5
"Engineer, site",Smith-Galvan,Bangalore,Senior Level,49000,Finance,"Python, SQL, Excel",3
"Engineer, aeronautical","Irwin, Young and Rodriguez",New York,Mid Level,87000,Software,"SQL, Java, Python, C++",4
Orthoptist,"Williamson, Rodgers and Gonzalez",Sydney,Senior Level,72000,Marketing,Google Ads,3
Town planner,Bond-Wall,New York,Mid Level,54000,Marketing,Google Ads,3
Media buyer,Stevens-Brown,San Francisco,Entry Level,78000,Retail,"Merchandising, Sales, Customer Service",4
Interior and spatial designer,Johnson-Nguyen,London,Entry Level,67000,Education,"EdTech, Curriculum Design, Teaching",3
Freight forwarder,Thomas-Smith,Berlin,Mid Level,141000,Education,"Research, Curriculum Design, EdTech",6
Intelligence analyst,"Johnson, Johnson and Hudson",Toronto,Mid Level,110000,Software,AWS,4
Osteopath,Edwards LLC,Sydney,Senior Level,80000,Retail,Sales,2
Sports coach,Green-George,San Francisco,Mid Level,70000,Finance,"Excel, Financial Modeling",1
"Clinical scientist, histocompatibility and immunogenetics",Jones-Moore,Bangalore,Mid Level,90000,Finance,"Python, Risk Analysis, Financial Modeling, Excel",5
Civil Service fast streamer,"Taylor, Cooper and Oneal",London,Entry Level,63000,Software,"SQL, Python",3
Chiropractor,Miller-Clark,canada,Senior Level,138000,Software,"Python, React, AWS",5
Haematologist,Hubbard-Harrison,Berlin,Mid Level,54000,Healthcare,"Patient Care, Pharmaceuticals, Nursing",4
"Surveyor, quantity",Ingram-Merritt,Bangalore,Mid Level,101000,Education,Teaching,1
Control and instrumentation engineer,"Lopez, Romero and Martinez",San Francisco,Mid Level,104000,Healthcare,"Patient Care, Nursing",5
Dealer,Horton-Soto,Toronto,Entry Level,44000,Finance,Risk Analysis,3
Banker,Peterson-Davis,San Francisco,Senior Level,110000,Manufacturing,"Supply Chain, Production Planning, Quality Control",3
Housing manager/officer,Freeman PLC,Bangalore,Mid Level,113000,Finance,"Python, SQL, Risk Analysis, Financial Modeling",2
Writer,Howard-King,San Francisco,Senior Level,143000,Healthcare,Nursing,5
"Merchandiser, retail","Hendricks, Turner and Bennett",Berlin,Senior Level,95000,Finance,"SQL, Excel, Python, Financial Modeling",3
Production manager,"Johnson, Welch and Woods",Bangalore,Mid Level,133000,Healthcare,"Patient Care, Nursing, Pharmaceuticals",8
Phytotherapist,Rice-Obrien,Bangalore,Senior Level,78000,Manufacturing,Supply Chain,2
Farm manager,Salinas-Watson,San Francisco,Entry Level,113000,Marketing,Google Ads,3
Contracting civil engineer,Warren Group,Toronto,Mid Level,105000,Finance,Financial Modeling,1
"Engineer, chemical",Edwards and Sons,London,Entry Level,55000,Education,"Research, EdTech, Teaching",3
Holiday representative,Velasquez-Morris,London,Senior Level,120000,Marketing,"SEO, Market Research, Content Writing, Social Media",3
Probation officer,Ruiz-Garcia,Sydney,Senior Level,61000,Healthcare,Pharmaceuticals,3
"Surveyor, planning and development",Anderson-Hernandez,London,Entry Level,112000,Software,"React, SQL, Machine Learning, Python",1
Arts administrator,"Wright, Walker and Perez",New York,Senior Level,78000,Manufacturing,"Production Planning, Supply Chain",5
Sports therapist,Phillips Inc,New York,Mid Level,150000,Software,"SQL, React, Machine Learning",2
"Designer, industrial/product",Hartman-Mcfarland,London,Mid Level,147000,Education,"Curriculum Design, Teaching, EdTech",5
"Biochemist, clinical",Martinez Inc,Bangalore,Senior Level,67000,Finance,"Python, Risk Analysis, SQL",2
Paediatric nurse,King-King,Toronto,Mid Level,55000,Marketing,"Content Writing, Google Ads",2
Automotive engineer,Reid-Gutierrez,Berlin,Mid Level,74000,Marketing,SEO,1
"Investment banker, corporate",Frost-May,Bangalore,Mid Level,104000,Retail,Sales,2
Chief Strategy Officer,"Coleman, Lewis and Smith",Bangalore,Mid Level,87000,Finance,Excel,3
Sports therapist,Green-Gardner,Sydney,Mid Level,71000,Finance,Financial Modeling,1
Secondary school teacher,Short PLC,Bangalore,Entry Level,68000,Retail,"Customer Service, Sales, Merchandising",3
Veterinary surgeon,Santiago Inc,Bangalore,Entry Level,125000,Finance,"Risk Analysis, Python, Excel",2
Claims inspector/assessor,Adams-Ortiz,Berlin,Mid Level,43000,Finance,Risk Analysis,4
Computer games developer,Thomas-Wong,Toronto,Mid Level,92000,Manufacturing,Quality Control,4
Risk analyst,Baxter and Sons,Berlin,Entry Level,47000,Software,"Machine Learning, Java",4
Computer games developer,"Humphrey, Knight and Smith",Toronto,Entry Level,138000,Healthcare,Medical Research,2
Hospital doctor,"Baker, Barker and Murray",Bangalore,Mid Level,105000,Manufacturing,"Quality Control, Production Planning, Supply Chain",5
Public affairs consultant,"Ramos, Miller and Williams",canada,Mid Level,59000,Software,"C++, Machine Learning",5
